X Y Z
-3.425688703004967639e+00 5.518044463509872877e+00 1.891602078157116651e+01
1.625144205828766175e+01 -1.132195794543571665e+01 2.775589902688058164e+00
1.225050321121663188e+01 -1.043919738886045501e+01 1.187216614390061586e+01
2.651000687834604630e+00 6.454940930470606020e+00 1.874315696293545130e+01
-4.585652008860665596e+00 1.591668617050769896e+00 1.940202016974335208e+01
-1.902368960521202013e+01 -6.068928330560036777e+00 1.125763173617802648e+00
6.903748990574716693e+00 -7.117551450872909413e+00 -1.736890069115819202e+01
1.790505139519742883e+01 8.711005360830794686e+00 1.878169358422128177e+00
-6.572665214291789404e+00 9.597199321399600080e+00 -1.626941416173814403e+01
-1.039992924965611820e+01 -1.492067382234085926e+01 8.319553130394650609e+00
-1.679652469411994886e+01 -6.516326050482502963e-02 1.085691079217744814e+01
2.186062931805205611e+00 -6.209196728927752762e-01 1.987047024149156726e+01
-8.864699595145625111e+00 -1.488294383576260849e+01 9.995753291741486635e+00
8.875829751089517217e+00 1.397912091023392911e+01 -1.121623041876078375e+01
-1.291878971734982073e+01 1.177090521907864407e+01 -9.723716499485350440e+00
1.899708081903855428e+00 5.197763129802165372e-01 -1.990278728691069432e+01
9.224377924812456442e+00 1.015028843310430773e+01 1.455618413682038792e+01
-6.024646606958205197e+00 9.660100834396574854e+00 -1.644342072473235561e+01
-1.259940453760030898e+01 7.639150618047048980e+00 -1.352399286944089241e+01
-7.919437908709877405e+00 1.655211676039026969e+01 7.956753983911815098e+00
-9.089124469972087894e+00 -1.685702664911045900e+01 -5.764414013630037026e+00
-5.300483239191733809e+00 1.378204737979226024e+01 1.348925674202284419e+01
7.171276069496404504e-02 -3.365696463753669598e-01 1.999703923467402333e+01
4.543561800811469098e+00 -1.137727397021845777e+00 -1.944380679116804700e+01
-7.008124062276938737e+00 7.086902751996618122e+00 1.733960802646581456e+01
1.427077427213968852e-01 -3.499220972758671611e+00 1.969098999755911805e+01
-1.574615149407673975e+01 -1.204331672579262147e+01 -2.649006486935919114e+00
-8.203723251742156108e+00 -1.803471785741771072e+01 -2.729079810515589344e+00
2.897728936925414445e+00 1.271432363779892505e+01 -1.516407403837809653e+01
1.837360181643719503e+00 1.821766911004706113e+00 -1.983192559699835300e+01
-5.263669635963428295e-01 -1.227046280090453356e+00 1.995538261337403085e+01
1.760377239553713835e+00 -1.227532157801201063e+00 1.988452254332563029e+01
-1.566638542353966912e+01 -6.778873195077912861e+00 1.042167193717773799e+01
-1.051042127519840008e+01 -1.483871840959109001e+01 -8.327273297948094566e+00
5.338148903662338185e+00 1.924521528287507266e+01 1.061063145208777314e+00
7.376698810487641644e+00 -1.671113934711798166e+01 -8.143840395081134886e+00
-5.804314727546886488e+00 1.232275797007201845e+01 1.464443807575452539e+01
-8.748118653695476254e+00 1.442701315854162303e+01 -1.073926027918739301e+01
-5.966528256655544205e+00 1.307854874668278633e+01 -1.390511068791518490e+01
-1.429219769927667727e+01 9.803085665261933812e+00 -9.981612913969687639e+00
-8.892505791411492666e+00 -4.283986594616560950e+00 1.739456235743971391e+01
8.501229254324227824e+00 5.818401477488960971e+00 -1.714279164582525539e+01
1.226745413704718324e+01 -7.689346383942917917e+00 -1.379795351431464567e+01
-7.956798982943679377e+00 1.786473130155823696e+01 -4.188164928480220262e+00
-5.967643176418769180e+00 -1.421083924401179566e+01 1.274516704087462315e+01
1.238126348242556318e+01 -8.328430151084120325e+00 -1.331696533739080657e+01
-1.847842613078823959e+01 -3.339905079682949474e+00 -6.884243007601517306e+00
-3.909605077446960397e+00 -1.483815824989662069e+01 -1.282747238895589348e+01
-1.630000946907307124e+01 -5.224900124095830378e+00 1.034456910660621354e+01
-5.381502423882989383e+00 1.001563455465641717e+01 1.645376844766310143e+01
4.743249135782773962e+00 -1.885937877164482046e+01 4.671768400031044877e+00
-1.855819562234547959e+01 2.479913853557015546e+00 -7.031600281706369415e+00
-1.669679889256272309e+00 -3.875096776652590780e+00 1.954982849129346789e+01
1.570990361315791439e+01 1.106507692309885904e+01 5.546440403645665818e+00
4.137727541140269416e+00 -1.722141247390030827e+01 -9.289895758246167645e+00
-1.112987576218484165e+01 -1.608564460412760155e+01 -4.168681228881741418e+00
1.918517354023761357e+01 2.730478197873089652e+00 -4.947080456380938074e+00
3.962817700627208062e-01 -1.258455872351122373e+01 -1.553936428858058250e+01
-4.422889095571149176e-01 -1.677247875731017634e+00 1.992463851827276144e+01
1.277708054906124779e+01 7.530404599560815981e+00 1.341786939904074316e+01
-1.998147420856104972e+00 -6.580411920376120216e-01 1.988905198027567423e+01
5.133593123605509234e+00 1.520479919160257687e+01 1.193567355385994588e+01
1.201637242902381386e+00 3.751576122103379429e-01 1.996034380221118809e+01
-1.393187118493839982e+01 1.381814977336282446e+01 -3.868035952159186941e+00
